Model,RMSE,MAE,R²
ARIMA,38.30445436581283,27.40195204562092,-0.26563233734329295
Random Forest,14.937710878960674,7.0651739806559375,0.8075237712860833
XGBoost,16.38948400517349,8.047946506562841,0.7682927816520246
