,CRACK_SPREAD_321
1986-01-03,38.92800000000001
1986-01-06,37.33800000000001
1986-01-07,39.378
1986-01-08,39.31800000000001
1986-01-09,38.83800000000001
1986-01-10,39.97800000000002
1986-01-13,41.68800000000002
1986-01-14,42.018000000000015
1986-01-15,41.38800000000002
1986-01-16,44.988000000000014
1986-01-17,46.03800000000001
1986-01-20,52.93800000000002
1986-01-21,55.09800000000001
1986-01-22,56.17800000000001
1986-01-23,57.13800000000001
1986-01-24,58.57800000000002
1986-01-27,54.31800000000001
1986-01-28,58.57800000000002
1986-01-29,58.09800000000001
1986-01-30,58.18800000000002
1986-01-31,60.07800000000002
1986-02-01,60.07800000000002
1986-02-03,64.668
1986-02-04,70.18800000000002
1986-02-05,68.08800000000001
1986-02-06,67.12800000000001
1986-02-07,63.82800000000002
1986-02-10,66.58800000000001
1986-02-11,68.08800000000001
1986-02-12,69.70800000000001
1986-02-13,67.638
1986-02-14,68.83800000000001
1986-02-18,72.82800000000002
1986-02-19,71.68800000000002
1986-02-20,74.53800000000001
1986-02-21,76.03800000000001
1986-02-24,72.888
1986-02-25,72.888
1986-02-26,73.06800000000001
1986-02-27,74.778
1986-02-28,77.23800000000001
1986-03-01,77.23800000000001
1986-03-03,80.98800000000001
1986-03-04,80.98800000000001
1986-03-05,80.83800000000002
1986-03-06,77.53800000000001
1986-03-07,80.20800000000001
1986-03-10,78.108
1986-03-11,77.23800000000001
1986-03-12,74.778
1986-03-13,79.12800000000001
1986-03-14,79.278
1986-03-17,77.08800000000002
1986-03-18,74.83800000000002
1986-03-19,77.17800000000001
1986-03-20,78.67800000000001
1986-03-21,75.07800000000002
1986-03-24,80.32800000000002
1986-03-25,79.638
1986-03-26,80.83800000000002
1986-03-27,82.87800000000001
1986-03-31,86.17800000000001
1986-04-01,83.53800000000001
1986-04-02,82.87800000000001
1986-04-03,81.82800000000002
1986-04-04,78.67800000000001
1986-04-07,73.75800000000001
1986-04-08,78.43800000000002
1986-04-09,77.92800000000001
1986-04-10,76.57800000000002
1986-04-11,76.03800000000001
1986-04-14,78.108
1986-04-15,78.768
1986-04-16,82.42800000000001
1986-04-17,81.67800000000001
1986-04-18,81.28800000000001
1986-04-21,79.48800000000001
1986-04-22,77.53800000000001
1986-04-23,75.82800000000002
1986-04-24,75.97800000000001
1986-04-25,74.23800000000001
1986-04-28,76.90800000000002
1986-04-29,76.03800000000001
1986-04-30,76.78800000000001
1986-05-01,75.528
1986-05-02,72.97800000000001
1986-05-05,73.96800000000002
1986-05-06,73.638
1986-05-07,71.53800000000001
1986-05-08,69.82800000000002
1986-05-09,69.43800000000002
1986-05-12,69.67800000000001
1986-05-13,69.97800000000001
1986-05-14,70.33800000000002
1986-05-15,69.888
1986-05-16,68.68800000000002
1986-05-19,65.53800000000001
1986-05-20,68.388
1986-05-21,70.33800000000002
1986-05-22,68.80800000000002
1986-05-23,66.07800000000002
1986-05-27,71.62800000000001
1986-05-28,72.97800000000001
1986-05-29,73.42800000000001
1986-05-30,74.028
1986-06-01,74.028
1986-06-02,75.528
1986-06-03,76.50000000000001
1986-06-04,76.47000000000001
1986-06-05,76.79400000000001
1986-06-06,78.02400000000002
1986-06-09,77.88000000000001
1986-06-10,78.23400000000001
1986-06-11,75.822
1986-06-12,75.52200000000002
1986-06-13,75.27000000000001
1986-06-16,75.01200000000001
1986-06-17,74.802
1986-06-18,74.97600000000001
1986-06-19,74.89800000000001
1986-06-20,72.054
1986-06-23,73.39200000000001
1986-06-24,73.60200000000002
1986-06-25,76.10400000000001
1986-06-26,76.41600000000001
1986-06-27,75.82200000000002
1986-06-30,77.352
1986-07-01,78.37200000000001
1986-07-02,79.00200000000001
1986-07-03,79.60200000000002
1986-07-07,80.57400000000001
1986-07-08,80.58600000000001
1986-07-09,80.69400000000002
1986-07-10,80.51400000000001
1986-07-11,80.26200000000001
1986-07-14,79.58400000000002
1986-07-15,78.27000000000001
1986-07-16,76.62
1986-07-17,77.382
1986-07-18,76.134
1986-07-21,75.32400000000001
1986-07-22,80.97000000000001
1986-07-23,81.12
1986-07-24,80.92800000000001
1986-07-25,80.868
1986-07-28,80.13000000000001
1986-07-29,78.93
1986-07-30,79.13400000000001
1986-07-31,79.83600000000001
1986-08-01,78.97200000000001
1986-08-04,73.75200000000001
1986-08-05,74.13000000000001
1986-08-06,72.906
1986-08-07,71.76600000000002
1986-08-08,72.35400000000001
1986-08-11,72.084
1986-08-12,70.93200000000002
1986-08-13,71.46600000000001
1986-08-14,71.18400000000003
1986-08-15,70.19400000000002
1986-08-18,70.98600000000002
1986-08-19,72.156
1986-08-20,71.95200000000001
1986-08-21,71.99400000000001
1986-08-22,71.24400000000001
1986-08-25,71.16000000000001
1986-08-26,69.96600000000001
1986-08-27,69.9
1986-08-28,70.15200000000002
1986-08-29,70.14600000000002
1986-09-01,70.14600000000002
1986-09-02,69.27600000000001
1986-09-03,70.05600000000001
1986-09-04,69.9
1986-09-05,71.676
1986-09-08,70.92
1986-09-09,71.80200000000002
1986-09-10,71.724
1986-09-11,71.52600000000001
1986-09-12,71.45400000000001
1986-09-15,73.20000000000002
1986-09-16,74.394
1986-09-17,74.12400000000002
1986-09-18,72.816
1986-09-19,73.18200000000002
1986-09-22,74.52000000000001
1986-09-23,73.69200000000001
1986-09-24,72.94200000000001
1986-09-25,73.45800000000003
1986-09-26,73.21800000000002
1986-09-29,72.18
1986-09-30,72.87000000000002
1986-10-01,71.74200000000002
1986-10-02,71.58600000000001
1986-10-03,72.34800000000001
1986-10-06,72.35400000000001
1986-10-07,70.42200000000001
1986-10-08,71.00400000000002
1986-10-09,71.778
1986-10-10,71.52600000000001
1986-10-14,72.35400000000001
1986-10-15,71.934
1986-10-16,72.62400000000002
1986-10-17,72.12600000000002
1986-10-20,71.62800000000001
1986-10-21,71.56200000000001
1986-10-22,72.25200000000002
1986-10-23,71.65800000000002
1986-10-24,71.46600000000001
1986-10-27,72.552
1986-10-28,72.96000000000001
1986-10-29,73.93200000000002
1986-10-30,70.93200000000002
1986-10-31,71.01000000000002
1986-11-01,71.01000000000002
1986-11-03,72.49200000000002
1986-11-04,72.072
1986-11-05,72.30600000000001
1986-11-06,72.19200000000001
1986-11-07,72.19200000000001
1986-11-10,71.952
1986-11-11,71.85000000000001
1986-11-12,71.862
1986-11-13,71.748
1986-11-14,71.44200000000001
1986-11-17,71.32800000000002
1986-11-18,71.19600000000001
1986-11-19,71.67000000000002
1986-11-20,72.59400000000001
1986-11-21,72.67200000000001
1986-11-24,72.57600000000001
1986-11-25,72.492
1986-11-26,72.60000000000001
1986-11-28,72.60000000000001
1986-12-01,72.40200000000002
1986-12-02,72.654
1986-12-03,72.75600000000001
1986-12-04,72.63000000000002
1986-12-05,72.936
1986-12-08,73.03200000000001
1986-12-09,72.97800000000001
1986-12-10,72.70200000000001
1986-12-11,72.138
1986-12-12,70.72200000000001
1986-12-15,70.01400000000001
1986-12-16,70.36200000000001
1986-12-17,71.118
1986-12-18,69.936
1986-12-19,69.29400000000001
1986-12-22,68.68200000000002
1986-12-23,68.57400000000001
1986-12-24,67.87800000000001
1986-12-26,67.87800000000001
1986-12-29,66.918
1986-12-30,66.46800000000002
1986-12-31,66.49800000000002
1987-01-01,66.49800000000002
1987-01-02,66.23400000000001
1987-01-05,66.43200000000002
1987-01-06,66.162
1987-01-07,66.162
1987-01-08,65.406
1987-01-09,65.50200000000001
1987-01-12,65.51400000000001
1987-01-13,65.89200000000001
1987-01-14,65.754
1987-01-15,65.91600000000001
1987-01-16,65.796
1987-01-19,66.24600000000001
1987-01-20,66.53400000000002
1987-01-21,66.168
1987-01-22,66.36000000000001
1987-01-23,66.57600000000001
1987-01-26,66.03600000000002
1987-01-27,66.27600000000001
1987-01-28,65.65800000000002
1987-01-29,65.46600000000001
1987-01-30,65.73600000000002
1987-02-01,65.73600000000002
1987-02-02,65.56800000000001
1987-02-03,65.94600000000001
1987-02-04,65.88600000000001
1987-02-05,65.61600000000001
1987-02-06,65.64
1987-02-09,65.43
1987-02-10,65.334
1987-02-11,65.90400000000001
1987-02-12,66.012
1987-02-13,66.50400000000002
1987-02-17,66.738
1987-02-18,67.38000000000001
1987-02-19,67.00800000000001
1987-02-20,66.37800000000001
1987-02-23,67.662
